  UID   PID TTY           TIME CMD
  501   568 ??         0:03.20 /usr/sbin/distnoted agent
  501   569 ??         0:03.18 /usr/sbin/cfprefsd agent
  501   573 ??         0:01.21 /usr/libexec/UserEventAgent (Aqua)
  501   577 ??         0:00.15 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   578 ??         0:00.38 /usr/sbin/universalaccessd launchd -s
  501   579 ??         0:00.14 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501   580 ??         0:01.44 /usr/libexec/knowledge-agent
  501   581 ??         0:00.24 /System/Library/CoreServices/audioaccessoryd
  501   583 ??         0:00.30 /usr/libexec/bluetoothuserd
  501   584 ??         0:00.15 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  501   585 ??         0:23.17 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   586 ??         0:00.16 /System/Library/CoreServices/talagent
  501   588 ??         0:03.00 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   589 ??         0:00.52 /usr/libexec/lsd
  501   590 ??         0:07.19 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   591 ??         0:00.36 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   592 ??         0:00.19 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  501   593 ??         0:00.60 /usr/libexec/rapportd
  501   594 ??         0:11.91 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   597 ??         0:00.09 /usr/libexec/ContinuityCaptureAgent server
  501   598 ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   599 ??         0:04.59 /usr/libexec/trustd --agent
  501   600 ??         0:00.18 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501   601 ??         0:00.16 /usr/libexec/dmd
  501   602 ??         0:00.23 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   604 ??         0:00.02 /System/Library/CoreServices/APFSUserAgent
  501   605 ??         0:00.23 /usr/libexec/secinitd
  501   607 ??         0:01.23 /usr/libexec/networkserviceproxy
  501   608 ??         0:01.34 /usr/libexec/nsurlsessiond
  501   609 ??         0:03.32 /usr/libexec/secd
  501   610 ??         0:00.38 /usr/sbin/usernoted
  501   611 ??         0:01.56 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   612 ??         0:00.42 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501   613 ??         0:00.73 /System/Library/CoreServices/lockoutagent
  501   614 ??         0:00.59 /usr/libexec/pkd
  501   615 ??         0:00.24 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  501   616 ??         0:29.71 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   617 ??         0:00.25 /usr/libexec/pboard
  501   619 ??         0:00.28 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  501   620 ??         0:00.67 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   623 ??         0:00.12 /System/Library/CoreServices/sharedfilelistd
